id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Barton;Gleichner;Lavina6@hotmail.com;freely;2024-04-13T03:50:53;987;12038
2;Fabian;Gutkowski;Durward_Yundt73@gmail.com;composer giant;2024-04-13T09:44:31;24834;7789
3;Roxane;Howe;Monserrate_Koss25@hotmail.com;campaign soon despite;2024-04-12T14:50:13;7264;29225
4;Nicholas;Breitenberg;Tillman_Kemmer41@gmail.com;drat against terribly;2024-04-12T19:50:49;23508;17259
5;Imani;Howe;Macy14@yahoo.com;zowie;2024-04-12T17:48:30;826;20144
6;Elyssa;Windler;Trisha_Pfeffer@yahoo.com;beneath down quick-witted;2024-04-12T16:13:23;23257;6421
7;Bartholome;Rogahn;Dallin_Pouros23@yahoo.com;inside;2024-04-13T03:13:28;8529;3794
8;Grover;Watsica;Dean.Jones@gmail.com;solidly as behest;2024-04-12T14:58:52;31428;8019
9;Peyton;Waters;Enola.Rogahn18@yahoo.com;scoot canoe;2024-04-12T14:25:32;169;17106
10;Veda;Jakubowski;Danika79@hotmail.com;wherever admirable;2024-04-13T10:14:15;30050;24705
